Timestamp,Location (city name or district name),Gender,Age (in years),What is the highest level of education you have completed?,What would best describe a wellness/fitness routine you follow or are likely to follow?,Which of the followings would best describe the main challenge you face that restricts you from following a regular wellness/fitness routine? (you can choose more than one option),How often do you follow a wellness/fitness routine?,"Whenever you practice your wellness/fitness routine, how much time on average do you spend (in minutes)?",Which of the following would best describe your purpose to follow a wellness/fitness routine?,Your general place of wellness/fitness routine is,Do you look for simple and target specific-exercises ?,"In your opinion, how important is following a well-balanced nutrition diet routine along with a wellness/fitness routine?",Which of the followings would best describe the main challenge(s) you face that restrict you from following a well-balanced nutrition diet routine? (you can choose more than one option),How likely would you be to try a remote/online mode of training for your wellness/fitness routine?,What would best describe the challenge(s) to use an online wellness/fitness service as a mainstream method to achieve your wellness/fitness goals? (you can choose more than one option),How much would you be willing to pay for such an online wellness/fitness training service (INR/month)?,"If you were to subscribe such an online  wellness/fitness training service, what would describe the ideal subscription cycle for you?",Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Price of service],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Expertise credibility of the trainer(s)],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Language of training/practice instructions in your regional language as compared to English?],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Flexibility of choosing different time slots for training/practice on different days],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Availability of hybrid options for training/practice (ability to choose online and offline training session as per my convenience)]
11-12-2022 19:31:27,Vapi,Male,35-44,Masters / Post-Graduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Lack of motivation / time",Occasionally / Rarely,46-60,General fitness/strength/flexibility/stamina,Home - without equipment,1,5,"Lack of understanding what to eat when and in what proportion, Can't cook at home, My schedule doesn't permit regularity in my eating habits",I may try only if I find something very interesting,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Neutral,Very Important,Important,Not important at all,Not so important
11-12-2022 22:33:13,San Francisco,Female,45-54,Masters / Post-Graduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",I follow a regular wellness/fitness routine,4 to 5 days a week,46-60,Weight loss/gain,Gym / Studio,5,5,I follow a balanced diet routine,I have already tried,Absence of ambience of a gym/studio and fellow members in online mode,Rs. 2500-5000,Monthly subscription at a price slightly higher than annual subscription,Not so important,Very Important,Neutral,Very Important,Very Important
11-13-2022 14:06:25,Mumbai,Male,18-24,Undergraduate degree,Meditation/Mindfulness practice,"Don't know where and how to start, Lack of motivation / time",4 to 5 days a week,15-30,Weight loss/gain,Home - without equipment,4,3,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly",Rs. 500 - 1000,Annual subscription with price discount benefits,Important,Important,Important,Very Important,Neutral
11-13-2022 14:15:31,Bangalore,Male,25-34,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Lack of motivation / time",Once/twice a week (e.g. weekends),31-45,General fitness/strength/flexibility/stamina,Hybrid - Gym and at Home,4,3,"Temptation for junk food, Can't cook at home, My schedule doesn't permit regularity in my eating habits",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home",Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Important,Very Important,Important,Very Important,Important
11-13-2022 15:26:07,Gurugram,Male,25-34,Undergraduate degree,Yoga & breathing exercises,"Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time",Once/twice a week (e.g. weekends),31-45,General fitness/strength/flexibility/stamina,Gym / Studio,4,3,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits",I am interested to try out,"I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Important,Important,Important,Important,Neutral
11-13-2022 18:57:00,Delhi,Female,18-24,Undergraduate degree,Yoga & breathing exercises,"Unavailability of a good gym/classes nearby, Lack of motivation / time",4 to 5 days a week,15-30,Body building,Home - without equipment,4,3,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Not so important,Important,Neutral,Very Important,Very Important
11-13-2022 19:11:42,Hyderabad,Male,More than 55,College diploma / Certificate,Yoga & breathing exercises,"Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Lack of motivation / time",Once/twice a week (e.g. weekends),46-60,Body building,Gym / Studio,4,4,"Can't cook at home, Find it too difficult to follow a routine",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly",Rs. 500 - 1000,Weekly subscription at a price slightly higher than monthly subscription,Very Important,Not important at all,Very Important,Neutral,Very Important
11-13-2022 19:42:08,Kolkata,Female,45-54,High school,Yoga & breathing exercises,"Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Once/twice a week (e.g. weekends),46-60,Weight loss/gain,Gym / Studio,4,5,"Temptation for junk food, Find it too difficult to follow a routine, I follow a balanced diet routine",I am interested to try out,"I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Important,Very Important,Not so important,Important,Neutral
11-13-2022 20:00:08,Bengaluru,Female,35-44,Undergraduate degree,I don't follow any wellness/fitness routine,"Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, I follow a regular wellness/fitness routine",4 to 5 days a week,31-45,Stress/anxiety reduction and/or attain mindfulness,Home - with equipment,3,5,"Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine",I have already tried,"I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 2500-5000,Annual subscription with price discount benefits,Neutral,Very Important,Not so important,Neutral,Very Important
11-13-2022 20:33:24,Jalandhar,Female,35-44,Masters / Post-Graduate degree,I don't follow any wellness/fitness routine,"Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription",Once/twice a week (e.g. weekends),31-45,General fitness/strength/flexibility/stamina,Gym / Studio,4,5,"Lack of understanding what to eat when and in what proportion, Can't cook at home, Find it too difficult to follow a routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 2500-5000,Weekly subscription at a price slightly higher than monthly subscription,Not so important,Very Important,Not important at all,Neutral,Important
11-13-2022 22:57:45,Chennai,Male,25-34,Masters / Post-Graduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time",Once/twice a week (e.g. weekends),15-30,General fitness/strength/flexibility/stamina,Home - without equipment,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Very Important,Very Important,Neutral,Important,Very Important
11-13-2022 23:02:47,Nellore,Female,25-34,Undergraduate degree,Meditation/Mindfulness practice,"Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time",4 to 5 days a week,15-30,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,5,3,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Very Important,Important,Neutral,Important,Very Important
11-16-2022 22:44:33,Ahmedabad ,Female,25-34,Undergraduate degree,Yoga & breathing exercises,Lack of motivation / time,Occasionally / Rarely,46-60,General fitness/strength/flexibility/stamina,Home - without equipment,3,4,Find it too difficult to follow a routine,I have already tried,"I have already tried online wellness and fitness service, and I faced no challenge. I was able to push myself and be was regularly attending it, than attending offline classes. ",Rs. 1000-2500,Annual subscription with price discount benefits,Important,Important,Important,Very Important,Very Important
